
=== hpf ===
     f(Hz)  sinc(dBFS)  filt(dBFS)   gain(dB)
      3.91      -39.17      -60.52     -21.35
      4.39      -39.17      -59.51     -20.34
      4.88      -39.17      -58.60     -19.43
      5.37      -39.17      -57.79     -18.61
      5.86      -39.17      -57.04     -17.87
      6.84      -39.17      -55.73     -16.55
      7.81      -39.17      -54.60     -15.42
      8.30      -39.18      -54.09     -14.91
      9.77      -39.18      -52.73     -13.55
     10.74      -39.18      -51.94     -12.77
     11.72      -39.18      -51.23     -12.05
     13.18      -39.18      -50.28     -11.10
     14.65      -39.18      -49.44     -10.26
     16.60      -39.18      -48.47      -9.29
     18.55      -39.19      -47.63      -8.45
     21.00      -39.19      -46.73      -7.54
     23.44      -39.20      -45.96      -6.77
     25.88      -39.20      -45.30      -6.10
     28.81      -39.21      -44.62      -5.41
     32.23      -39.22      -43.96      -4.74
     36.13      -39.23      -43.33      -4.10
     40.53      -39.24      -42.76      -3.51
     45.41      -39.26      -42.25      -2.99
     50.78      -39.28      -41.81      -2.52
     56.64      -39.31      -41.43      -2.12
     63.48      -39.35      -41.10      -1.76
     70.80      -39.39      -40.85      -1.46
     79.10      -39.44      -40.64      -1.20
     88.38      -39.51      -40.48      -0.97
     98.63      -39.59      -40.38      -0.79
    110.35      -39.70      -40.33      -0.63
    123.54      -39.83      -40.33      -0.50
    138.18      -40.00      -40.39      -0.39
    154.30      -40.20      -40.51      -0.31
    172.36      -40.46      -40.70      -0.24
    192.87      -40.79      -40.97      -0.18
    215.82      -41.20      -41.33      -0.13
    241.21      -41.72      -41.81      -0.10
    269.53      -42.36      -42.43      -0.07
    301.27      -43.19      -43.23      -0.05
    336.43      -44.22      -44.25      -0.03
    376.46      -45.56      -45.57      -0.01
    420.41      -47.24      -47.25      -0.01
    470.21      -49.45      -49.45      -0.00
