
=== hpf_lpf ===
     f(Hz)  sinc(dBFS)  filt(dBFS)   gain(dB)
      3.91      -39.17      -59.75     -20.57
      4.39      -39.17      -58.74     -19.57
      4.88      -39.17      -57.84     -18.67
      5.37      -39.17      -57.03     -17.86
      5.86      -39.17      -56.29     -17.12
      6.84      -39.17      -55.00     -15.82
      7.81      -39.17      -53.89     -14.71
      8.30      -39.18      -53.39     -14.22
      9.77      -39.18      -52.07     -12.89
     10.74      -39.18      -51.31     -12.13
     11.72      -39.18      -50.63     -11.45
     13.18      -39.18      -49.73     -10.55
     14.65      -39.18      -48.95      -9.77
     16.60      -39.18      -48.06      -8.87
     18.55      -39.19      -47.31      -8.12
     21.00      -39.19      -46.52      -7.33
     23.44      -39.20      -45.88      -6.68
     25.88      -39.20      -45.34      -6.14
     28.81      -39.21      -44.82      -5.61
     32.23      -39.22      -44.33      -5.11
     36.13      -39.23      -43.88      -4.65
     40.53      -39.24      -43.48      -4.23
     45.41      -39.26      -43.09      -3.83
     50.78      -39.28      -42.69      -3.40
     56.64      -39.31      -42.23      -2.92
     63.48      -39.35      -41.67      -2.33
     70.80      -39.39      -41.05      -1.66
     79.10      -39.44      -40.40      -0.96
     88.38      -39.51      -39.84      -0.33
     98.63      -39.59      -39.58       0.01
    110.35      -39.70      -39.86      -0.16
    123.54      -39.83      -41.03      -1.20
    138.18      -40.00      -43.47      -3.47
    154.30      -40.20      -47.67      -7.47
    172.36      -40.46      -54.48     -14.03
    192.87      -40.79      -65.45     -24.66
    215.82      -41.20      -83.45     -42.25
    241.21      -41.72     -118.55     -76.83
    269.53      -42.36     -141.38     -99.02
    301.27      -43.19     -149.45    -106.27
    336.43      -44.22     -141.91     -97.70
    376.46      -45.56     -153.45    -107.89
    420.41      -47.24     -162.67    -115.43
    470.21      -49.45     -160.02    -110.57
