
=== hpf_notch ===
     f(Hz)  sinc(dBFS)  filt(dBFS)   gain(dB)
      3.91      -39.17      -60.53     -21.36
      4.39      -39.17      -59.52     -20.35
      4.88      -39.17      -58.60     -19.43
      5.37      -39.17      -57.80     -18.62
      5.86      -39.17      -57.03     -17.86
      6.84      -39.17      -55.74     -16.56
      7.81      -39.17      -54.59     -15.42
      8.30      -39.18      -54.10     -14.92
      9.77      -39.18      -52.74     -13.56
     10.74      -39.18      -51.94     -12.76
     11.72      -39.18      -51.23     -12.05
     13.18      -39.18      -50.28     -11.10
     14.65      -39.18      -49.44     -10.26
     16.60      -39.18      -48.47      -9.28
     18.55      -39.19      -47.64      -8.45
     21.00      -39.19      -46.73      -7.54
     23.44      -39.20      -45.96      -6.77
     25.88      -39.20      -45.30      -6.10
     28.81      -39.21      -44.62      -5.41
     32.23      -39.22      -43.95      -4.73
     36.13      -39.23      -43.32      -4.09
     40.53      -39.24      -42.76      -3.52
     45.41      -39.26      -42.29      -3.03
     50.78      -39.28      -96.58     -57.30
     56.64      -39.31      -41.44      -2.13
     63.48      -39.35      -41.10      -1.76
     70.80      -39.39      -40.85      -1.46
     79.10      -39.44      -40.64      -1.20
     88.38      -39.51      -40.48      -0.97
     98.63      -39.59      -40.38      -0.79
    110.35      -39.70      -40.33      -0.63
    123.54      -39.83      -40.33      -0.50
    138.18      -40.00      -40.39      -0.39
    154.30      -40.20      -40.51      -0.31
    172.36      -40.46      -40.70      -0.24
    192.87      -40.79      -40.97      -0.18
    215.82      -41.20      -41.33      -0.13
    241.21      -41.72      -41.81      -0.10
    269.53      -42.36      -42.43      -0.07
    301.27      -43.19      -43.23      -0.05
    336.43      -44.22      -44.25      -0.03
    376.46      -45.56      -45.57      -0.01
    420.41      -47.24      -47.25      -0.01
    470.21      -49.45      -49.45      -0.00
