
=== notch ===
     f(Hz)  sinc(dBFS)  filt(dBFS)   gain(dB)
      3.91      -39.17      -39.17      -0.00
      4.39      -39.17      -39.17      -0.00
      4.88      -39.17      -39.17      -0.00
      5.37      -39.17      -39.17      -0.00
      5.86      -39.17      -39.17       0.00
      6.84      -39.17      -39.17       0.00
      7.81      -39.17      -39.17       0.00
      8.30      -39.18      -39.18      -0.00
      9.77      -39.18      -39.18      -0.00
     10.74      -39.18      -39.18       0.00
     11.72      -39.18      -39.18       0.00
     13.18      -39.18      -39.18      -0.00
     14.65      -39.18      -39.18      -0.00
     16.60      -39.18      -39.18       0.00
     18.55      -39.19      -39.19      -0.00
     21.00      -39.19      -39.19       0.00
     23.44      -39.20      -39.20      -0.00
     25.88      -39.20      -39.20      -0.00
     28.81      -39.21      -39.21       0.00
     32.23      -39.22      -39.21       0.00
     36.13      -39.23      -39.22       0.00
     40.53      -39.24      -39.25      -0.00
     45.41      -39.26      -39.31      -0.05
     50.78      -39.28      -93.61     -54.33
     56.64      -39.31      -39.32      -0.01
     63.48      -39.35      -39.34       0.00
     70.80      -39.39      -39.39      -0.00
     79.10      -39.44      -39.44      -0.00
     88.38      -39.51      -39.51      -0.00
     98.63      -39.59      -39.59       0.00
    110.35      -39.70      -39.70      -0.00
    123.54      -39.83      -39.83      -0.00
    138.18      -40.00      -39.99       0.00
    154.30      -40.20      -40.20      -0.00
    172.36      -40.46      -40.46      -0.00
    192.87      -40.79      -40.79       0.00
    215.82      -41.20      -41.20      -0.00
    241.21      -41.72      -41.71       0.00
    269.53      -42.36      -42.36      -0.00
    301.27      -43.19      -43.19      -0.00
    336.43      -44.22      -44.22       0.00
    376.46      -45.56      -45.56      -0.00
    420.41      -47.24      -47.24      -0.00
    470.21      -49.45      -49.45       0.00
