
=== notch_lpf ===
     f(Hz)  sinc(dBFS)  filt(dBFS)   gain(dB)
      3.91      -39.17      -38.40       0.78
      4.39      -39.17      -38.40       0.77
      4.88      -39.17      -38.41       0.76
      5.37      -39.17      -38.42       0.76
      5.86      -39.17      -38.43       0.75
      6.84      -39.17      -38.44       0.73
      7.81      -39.17      -38.47       0.71
      8.30      -39.18      -38.48       0.70
      9.77      -39.18      -38.52       0.66
     10.74      -39.18      -38.55       0.63
     11.72      -39.18      -38.58       0.60
     13.18      -39.18      -38.63       0.55
     14.65      -39.18      -38.69       0.49
     16.60      -39.18      -38.77       0.41
     18.55      -39.19      -38.86       0.33
     21.00      -39.19      -38.98       0.21
     23.44      -39.20      -39.11       0.09
     25.88      -39.20      -39.24      -0.04
     28.81      -39.21      -39.41      -0.20
     32.23      -39.22      -39.59      -0.37
     36.13      -39.23      -39.78      -0.55
     40.53      -39.24      -39.96      -0.72
     45.41      -39.26      -40.15      -0.89
     50.78      -39.28      -98.05     -58.76
     56.64      -39.31      -40.11      -0.80
     63.48      -39.35      -39.91      -0.57
     70.80      -39.39      -39.59      -0.20
     79.10      -39.44      -39.20       0.24
     88.38      -39.51      -38.87       0.64
     98.63      -39.59      -38.79       0.80
    110.35      -39.70      -39.23       0.47
    123.54      -39.83      -40.53      -0.70
    138.18      -40.00      -43.08      -3.08
    154.30      -40.20      -47.36      -7.16
    172.36      -40.46      -54.25     -13.79
    192.87      -40.79      -65.27     -24.48
    215.82      -41.20      -83.24     -42.04
    241.21      -41.72     -119.32     -77.60
    269.53      -42.36     -128.11     -85.75
    301.27      -43.19     -127.65     -84.47
    336.43      -44.22     -128.12     -83.90
    376.46      -45.56     -127.95     -82.39
    420.41      -47.24     -128.81     -81.57
    470.21      -49.45     -129.03     -79.58
