config,freq_hz,sinc_dbfs,filt_dbfs,gain_db
none,3.906,-39.173,-39.173,0.000
none,4.395,-39.173,-39.173,0.000
none,4.883,-39.173,-39.173,0.000
none,5.371,-39.173,-39.173,0.000
none,5.859,-39.174,-39.174,0.000
none,6.836,-39.174,-39.174,0.000
none,7.812,-39.175,-39.175,0.000
none,8.301,-39.175,-39.175,0.000
none,9.766,-39.176,-39.176,0.000
none,10.742,-39.177,-39.177,0.000
none,11.719,-39.178,-39.178,0.000
none,13.184,-39.180,-39.180,0.000
none,14.648,-39.181,-39.181,0.000
none,16.602,-39.184,-39.184,0.000
none,18.555,-39.187,-39.187,0.000
none,20.996,-39.191,-39.191,0.000
none,23.438,-39.196,-39.196,0.000
none,25.879,-39.201,-39.201,0.000
none,28.809,-39.208,-39.208,0.000
none,32.227,-39.217,-39.217,0.000
none,36.133,-39.228,-39.228,0.000
none,40.527,-39.243,-39.243,0.000
none,45.410,-39.261,-39.261,0.000
none,50.781,-39.283,-39.283,0.000
none,56.641,-39.310,-39.310,0.000
none,63.477,-39.345,-39.345,0.000
none,70.801,-39.387,-39.387,0.000
none,79.102,-39.441,-39.441,0.000
none,88.379,-39.508,-39.508,0.000
none,98.633,-39.590,-39.590,0.000
none,110.352,-39.696,-39.696,0.000
none,123.535,-39.830,-39.830,0.000
none,138.184,-39.996,-39.996,0.000
none,154.297,-40.201,-40.201,0.000
none,172.363,-40.458,-40.458,0.000
none,192.871,-40.786,-40.786,0.000
none,215.820,-41.200,-41.200,0.000
none,241.211,-41.715,-41.715,0.000
none,269.531,-42.364,-42.364,0.000
none,301.270,-43.186,-43.186,0.000
none,336.426,-44.218,-44.218,0.000
none,376.465,-45.558,-45.558,0.000
none,420.410,-47.244,-47.244,0.000
none,470.215,-49.452,-49.452,0.000
hpf,3.906,-39.173,-60.524,-21.351
hpf,4.395,-39.173,-59.510,-20.337
hpf,4.883,-39.173,-58.604,-19.431
hpf,5.371,-39.173,-57.787,-18.613
hpf,5.859,-39.174,-57.042,-17.869
hpf,6.836,-39.174,-55.729,-16.555
hpf,7.812,-39.175,-54.599,-15.424
hpf,8.301,-39.175,-54.088,-14.913
hpf,9.766,-39.176,-52.730,-13.554
hpf,10.742,-39.177,-51.943,-12.766
hpf,11.719,-39.178,-51.231,-12.053
hpf,13.184,-39.180,-50.280,-11.100
hpf,14.648,-39.181,-49.444,-10.262
hpf,16.602,-39.184,-48.472,-9.289
hpf,18.555,-39.187,-47.633,-8.446
hpf,20.996,-39.191,-46.732,-7.541
hpf,23.438,-39.196,-45.963,-6.768
hpf,25.879,-39.201,-45.301,-6.100
hpf,28.809,-39.208,-44.621,-5.413
hpf,32.227,-39.217,-43.955,-4.738
hpf,36.133,-39.228,-43.328,-4.100
hpf,40.527,-39.243,-42.755,-3.513
hpf,45.410,-39.261,-42.247,-2.987
hpf,50.781,-39.283,-41.807,-2.524
hpf,56.641,-39.310,-41.434,-2.124
hpf,63.477,-39.345,-41.105,-1.760
hpf,70.801,-39.387,-40.845,-1.458
hpf,79.102,-39.441,-40.637,-1.196
hpf,88.379,-39.508,-40.481,-0.973
hpf,98.633,-39.590,-40.379,-0.788
hpf,110.352,-39.696,-40.327,-0.631
hpf,123.535,-39.830,-40.330,-0.500
hpf,138.184,-39.996,-40.390,-0.394
hpf,154.297,-40.201,-40.509,-0.308
hpf,172.363,-40.458,-40.697,-0.238
hpf,192.871,-40.786,-40.967,-0.181
hpf,215.820,-41.200,-41.335,-0.135
hpf,241.211,-41.715,-41.813,-0.098
hpf,269.531,-42.364,-42.433,-0.069
hpf,301.270,-43.186,-43.231,-0.046
hpf,336.426,-44.218,-44.246,-0.028
hpf,376.465,-45.558,-45.573,-0.015
hpf,420.410,-47.244,-47.250,-0.006
hpf,470.215,-49.452,-49.453,-0.001
notch,3.906,-39.173,-39.173,-0.001
notch,4.395,-39.173,-39.173,-0.000
notch,4.883,-39.173,-39.174,-0.001
notch,5.371,-39.173,-39.173,-0.000
notch,5.859,-39.174,-39.173,0.000
notch,6.836,-39.174,-39.174,0.000
notch,7.812,-39.175,-39.174,0.001
